"","ID","BW1N","BW2H","ME1N","ME2H","BW 1N - ME 1N","BW 1N - BW 2H","BW 1N - ME 2H","ME 1N - BW 2H","ME 1N - ME 2H","BW 2H - ME 2H"
"18845","Tada2b","4.810652","4.566141","4.606820","4.582582","0.063329825581672","0.063329825581672","0.063329825581672","0.964084233875538","0.964084233875538","0.964084233875538"
"18846","Tada3","5.142376","5.033828","5.532303","5.696747","7.41374549446065e-06","0.181830096967205","7.6218318367399e-08","1.33535375619094e-07","0.0413817723009663","2.99299037232784e-09"
"18847","Taf1","6.540443","6.711554","6.480143","6.550243","0.534412614552794","0.0860111686599711","0.968042229190784","0.0323295142013358","0.534412614552794","0.0860111686599711"
"18848","Taf10","5.552315","5.498636","5.784036","5.895971","0.0148355461184923","0.469049305279422","0.000914256445846994","0.00265392297043843","0.197625239012836","0.000202660209417597"
"18849","Taf11","4.988675","5.070091","4.815131","5.009245","0.183899022868462","0.880734229247371","0.937077639390493","0.183899022868462","0.183899022868462","0.880734229247371"
"18850","Taf12","4.612249","4.476792","4.682327","4.813613","0.333485086422816","0.0780272417659835","0.0155375796007675","0.0147535770497191","0.0784906083036792","0.000210268749492025"
"18851","Taf13","4.737946","4.617816","4.486415","4.621367","0.0198873103674116","0.183037194528311","0.188639434729104","0.183037194528311","0.183037194528311","0.89500412654699"
"18852","Taf15","6.082523","6.401823","6.383821","6.287975","0.055497539937929","0.055497539937929","0.215813279427225","0.911509615812676","0.538806824507066","0.538806824507066"
"18853","Taf1a","3.262149","3.134879","3.388988","3.499349","0.446770741262145","0.446770741262145","0.268006981588203","0.202535889094335","0.549035539137438","0.11959641940158"
"18854","Taf1b","3.685714","3.268814","3.284631","3.346623","0.000296600313817989","0.000296600313817989","0.00227846823150089","0.890003832031954","0.534754640356561","0.534754640356561"
"18855","Taf1c","3.580595","3.539764","3.633269","3.886963","0.72133495386954","0.72133495386954","0.11797158098681","0.660669079342226","0.175235539931352","0.0973530269092388"
