"","ID","BW1N","BW2H","ME1N","ME2H","BW 1N - ME 1N","BW 1N - BW 2H","BW 1N - ME 2H","ME 1N - BW 2H","ME 1N - ME 2H","BW 2H - ME 2H"
"2244","Cops9","3.767444","3.832371","4.112957","4.160919","2.71578413410952e-06","0.337392253506034","6.83408141776669e-07","2.45342675932263e-05","0.337392253506034","3.13725553097249e-06"
"2245","Copz1","6.480330","6.519888","6.348839","6.376885","0.00751071207081177","0.45924111352166","0.0365470902734521","0.00140993118128843","0.467422603965043","0.00659486016616944"
"2246","Copz2","6.869969","6.878196","6.201450","6.252696","2.2490631892705e-06","0.972928552423987","3.71758898989737e-06","2.2490631892705e-06","0.934942487759762","3.59315395688534e-06"
"2247","Coq10a","2.489087","2.248567","1.578247","1.511829","1.38421199753778e-08","0.062885213367256","1.38421199753778e-08","1.3182027255749e-06","0.680226798907042","8.9552691414633e-07"
"2248","Coq10b","4.937701","4.816393","4.903116","4.969200","0.581875110735459","0.151183764894739","0.581875110735459","0.256616371220078","0.334337115118081","0.0606329489443734"
"2249","Coq2","4.735060","4.964149","5.039743","5.147786","0.0475336998877624","0.241834977262568","0.0106077257881684","0.339510075373878","0.339510075373878","0.10653409607347"
"2250","Coq3","3.263820","3.226981","3.496311","3.465303","0.00204967197039969","0.621179731531344","0.00698124161053739","0.000956651560760976","0.621179731531344","0.00204967197039969"
"2251","Coq4","2.779929","2.746470","2.889897","2.778905","0.585217788581234","0.813628654441409","0.993534370256836","0.585217788581234","0.585217788581234","0.813628654441409"
"2252","Coq5","4.824349","4.814159","4.357389","4.269478","1.9485599352053e-14","0.744317163690931","8.73617570329094e-15","1.9485599352053e-14","0.0141816140932576","8.73617570329094e-15"
"2253","Coq6","4.267453","4.268101","4.443591","4.429283","0.0329280930460676","0.89479541232927","0.0487284058783169","0.0329280930460676","0.809242692329001","0.0487284058783169"
"2254","Coq7","3.146444","3.071208","3.141974","3.017554","0.950208714368507","0.497629725419381","0.295070431279849","0.497629725419381","0.295070431279849","0.497629725419381"
"2255","Coq8a","1.6630113","1.5968021","1.2845964","0.9606953","0.0237006323459323","0.74713801954526","0.000107869716332908","0.0281086422529914","0.0237006323459323","0.000107869716332908"
"2256","Coq8b","5.095501","5.214678","4.957120","4.986790","0.164089602496038","0.216105519688522","0.216105519688522","0.0135087935809673","0.681718790302906","0.0223642685165981"
"2257","Coq9","5.112892","4.968163","5.151089","5.085666","0.473162995619015","0.0277431880084552","0.604134687262125","0.00409121040881342","0.245578669686919","0.0541839957833911"
"2258","Corin"," 0.2743043","-0.2457619","-0.4654017","-0.8803087","0.180801638211769","0.259976139925996","0.0290265573358747","0.596553648159011","0.259976139925996","0.180801638211769"
"2259","Coro1a","2.418155","2.594456","2.514418","2.825447","0.867011363678079","0.867011363678079","0.441003831043821","0.917004181512016","0.441003831043821","0.441003831043821"
"2260","Coro1b","7.313445","7.363509","7.342065","7.397410","0.54018989652538","0.404945118821283","0.259584804853436","0.54018989652538","0.404945118821283","0.54018989652538"
"2261","Coro1c","8.071596","8.085378","7.931170","7.985950","0.0489343775957459","0.847224744206856","0.169950678543258","0.0489343775957459","0.445384526702978","0.150821471257334"
"2262","Coro2a","3.381011","3.551400","3.934385","3.999820","0.0177375670699674","0.635104098919247","0.0177375670699674","0.0380155645131072","0.899944792122318","0.0380155645131072"
"2263","Coro2b","3.850922","3.709447","3.354961","3.197469","0.00213685473056449","0.357123507171464","0.000482758107504457","0.0172148138173771","0.353340091439093","0.00213685473056449"
"2264","Coro6","0.9396706","1.0799610","1.6630821","1.4241748","0.0002792503056416","0.381349612158654","0.00765910907412191","0.00164874839061775","0.147755805112598","0.047411064654789"
"2265","Cotl1","5.717464","5.878646","5.259378","5.138304","1.96327358055991e-06","0.0598419667296989","1.01739322096864e-07","9.36249075379368e-09","0.118627524604628","1.6020315257496e-09"
